Class II,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6
31.0,-0.22706479227208823,-0.23577128460938426,-0.2185176709360185,-0.1836762679383537,-0.2314482275032091,,-0.23678831748741228,-0.23535836179564082,-0.2215732035142009,-0.24411366531827491,-0.2313945103147541,-0.23197691883105112,,,-0.25366244088782286,,,,-0.2502909715937225,-0.22763124506826463,,-0.24179778041329647,-0.1983152110251467,-0.20750674322545104,-0.19071730419314092,-0.20343564419728552,-0.2165845130096313,-0.20822115282868586,-0.21640596953659835
32.0,-0.19339952181389788,-0.18933161695111705,-0.18764454427740215,-0.1631274215165896,-0.20241761723419488,-0.1949369062442166,-0.20283383811145192,-0.19915308451060085,-0.18679732895702308,-0.2081522133945642,-0.19917808694432979,-0.1990093796284413,-0.2105906931248313,-0.1342821872922173,-0.2190748048851418,,,-0.1644329381533834,-0.21421372212562081,-0.19363932418752886,-0.22621059661962137,-0.20627018362287666,,-0.17793920855429948,-0.16733208841036373,-0.17979074854064642,-0.18772495878226292,,-0.1858140272642263
33.0,-0.21537546225188325,-0.19973754248195102,,-0.16699413992928713,-0.21211214584592772,,-0.2158711015881121,-0.21475521479386628,-0.20472786853366726,-0.22179755566237094,-0.2122005427882623,-0.2146025049869492,-0.23420031510968434,-0.14228232598752139,,,,-0.16830940841754213,-0.2339998837634508,-0.2103709617594618,,-0.21061028158631087,-0.17904885331133694,-0.19449100913357006,-0.17618871585891055,-0.19028606267866027,-0.2037919606069228,-0.1947155248138889,
34.0,-0.20184181571737927,-0.188242291413454,-0.19295523026229994,-0.1581117353469762,-0.1518524393112495,-0.08539106972920112,-0.16343407599825197,-0.1129376400404697,-0.18946101296565798,-0.10143507631029126,-0.19623387953613636,-0.2058056803119386,-0.18832698783270146,-0.013726397979210325,-0.097362458142767,,-0.20000409078326917,-0.11275392727221113,-0.17131963448740542,,,-0.2107493872902671,-0.15911319284816405,-0.0920203164564494,-0.09227158964039593,-0.1768929703911716,-0.177152372089352,-0.1689562698034182,-0.023618513261312507
35.0,-0.22698686340528687,,-0.21813652122418373,-0.1842949428843853,-0.23102442297373443,-0.22623571667707817,-0.23699775143884458,-0.23468114078167604,-0.2215485397733802,-0.2434188922903825,-0.2301771937902126,-0.23329233186656673,,-0.14709386525056822,-0.2425897351750859,,,,-0.24445622027862518,-0.22358710518120975,,-0.23820885325122587,-0.19587703672389534,-0.206453446824952,-0.19106599031316246,-0.20343564419728552,-0.21625151815316165,-0.20822115282868586,-0.21714695083731325
36.0,-0.16017584826758197,-0.17952768711214956,-0.1653854011062516,,-0.1786315880174296,-0.17320162122139607,-0.1883305369747657,-0.1869370592971593,-0.1682008683782202,-0.18572494005419746,-0.16047874533855647,-0.16908373307046135,,-0.14104125435221168,-0.23387726410111653,-0.23508564650879332,,-0.1653476109123422,-0.2351263951559696,-0.2075955716408947,-0.23213685988256869,-0.22638486841494676,-0.18437937163662177,-0.14975099059808714,-0.13051083413609027,-0.16318331410416045,-0.15473071842039657,-0.15619651473618404,-0.16432556954349437
37.0,0.046283696178171733,0.1703178092467966,0.03199932966258115,,,,0.024218744485081715,0.043891118616527156,-0.0060367724821605686,0.08365245832024458,-0.0003591578314212088,0.08514724048116891,-0.012096020879255693,-0.03131142838106009,0.012810963698966093,0.09094939261019265,0.13391747319740446,,0.007131324050570741,0.011765976873278076,0.056843300742463757,0.02394975642467531,0.05841020069484951,-0.018515274793052258,0.057105544176827054,-0.0017843765014787679,0.02231154693595945,-0.028652240702953757,0.09128651558526144
38.0,-0.1898927228078364,-0.21106079478134332,-0.20118806403793096,-0.16962350844992147,-0.21544960651554068,-0.20493513735471405,,-0.21681292479783618,-0.19029958015356158,-0.22260349237472615,-0.19750781543391238,,-0.2315926015175331,-0.12469729558567161,-0.24410494753577622,,-0.24323389920567423,,-0.23180463079341418,-0.1717269583942707,,,-0.18621995419737036,-0.19429038124776074,-0.18195365970993316,-0.18901980668057045,-0.20048976161359894,-0.18944113754183803,-0.19616130185635214
39.0,1.9581385617050304,2.8739091278804354,1.3059795364799045,1.0294127280269074,1.8400818247858364,1.7092274872961997,,2.0935265643429983,1.8219657059251784,2.4985723395897703,2.0629074222065973,1.8094618989744455,2.7150396378200576,0.8712340516357027,2.8031036646094445,2.6293209227758134,3.1731933438709428,1.6247105342156964,3.115580644714913,2.0665855237998088,2.6708342202854167,2.975077265855983,1.7593475235227352,1.65830751631569,1.06034524870277,1.6454198683983103,2.796214200470765,2.442584664489772,2.2529142150957866
40.0,-0.22685698196061793,-0.2344526273795816,-0.21745045174288113,-0.18394141434379582,-0.23200447094814458,-0.22286035476765192,-0.2348772326805926,-0.2356969723026232,-0.2197234229526489,,-0.23003564535712637,-0.23293607416944792,,-0.15096982743468929,-0.2521763672263766,,,,-0.2507242452062297,-0.22739335448667317,,-0.24151956900538402,,-0.20680454562511835,-0.1900664234357674,-0.20360610173548993,-0.21641801558139648,-0.2072621733246766,-0.2157179154716488
41.0,-0.22254491799760898,-0.21361210985639628,-0.21612913274185394,,-0.2293292048558358,-0.15340972638885125,-0.18340883911610684,-0.2345509059712982,,-0.15682238209387353,-0.22683665076937773,-0.1986531219313225,1.0920323459824524,0.5591331754699738,1.2436587584666592,1.3231727809348197,1.331349029535164,0.9892743018133178,1.301204064979653,1.410879784073205,1.203066421539589,1.3738315076158805,0.6758897943215666,-0.20524967951009596,,-0.1923802552908858,-0.20731615617122645,-0.19295739572320528,-0.20957835612286826
42.0,-0.18519101451082062,-0.2013715307884456,-0.15819437654296895,-0.1617574984218053,-0.18750499535330528,,-0.1924144990276954,-0.17935739333316894,,,-0.20206567497928873,,-0.12927489293947048,-0.06894453904560503,-0.04062941071461192,-0.12983632129765205,-0.11342033952805733,-0.05626199544508898,,-0.057063698067185344,-0.14303339658057784,-0.14840221077708715,-0.12015021136738249,-0.18764458253032631,-0.15715045370573508,-0.15855660949575529,-0.17512665337916172,-0.18648428407114284,-0.19354140368596734
43.0,,-0.21507409939378616,-0.1965380375535468,-0.16834196749028457,-0.20874819739322262,-0.204730569966264,,-0.2183496955602947,-0.20255745934144623,-0.21965765473646237,-0.20234877184546118,-0.2113961857128799,-0.22362926108558742,-0.13899825950639416,-0.2278746920568433,,,-0.16421515892505986,-0.22033732251572294,-0.2056131501276325,-0.2181891897788644,-0.21689785940513223,-0.17950302303411905,,-0.16412417610616564,-0.18358951653491593,-0.1863652297850119,-0.18283483429199654,-0.18811636202001902
44.0,-0.22145391386238983,-0.22871933507609182,-0.2148586337024047,-0.18073756194470356,,-0.22252793276142055,,-0.2297843119114692,-0.21520995838246199,-0.23886118122740835,-0.2251663792589603,,,-0.14724661252876017,-0.24792211713674608,,,-0.1822255011074153,-0.24592935056114976,-0.22363996975489675,,-0.2365674059445424,-0.19649853213401824,-0.20163837756552783,-0.18809053542231208,-0.1992959611266072,,-0.20414548993664655,-0.21233057238266645
45.0,-0.21438836327239927,-0.22909199907581868,-0.20743891931202119,-0.1778430470186271,-0.21907843279916744,-0.2272329826957723,-0.22809680850297215,-0.22598145544843623,-0.21792296987273826,-0.2355818525357562,-0.22510975988572582,-0.23131921231329333,,-0.1413658423183696,-0.24244404167886566,,,-0.18126727250279182,,-0.22287343343643537,,-0.23937734116445814,-0.1970005091960406,-0.20540015042445295,-0.1907405499344757,-0.2032651866590811,-0.21614051986767177,-0.20752855652023472,
46.0,-0.22337615924349022,-0.2338506316877152,-0.21231763562350625,-0.1830575929923221,-0.2257798419214855,-0.22260464553208933,,-0.23014896938052715,-0.2166404553500622,-0.24002839991426758,-0.22666679264967426,-0.23203172770753094,0.766488745930025,0.24951444257486433,0.6932287297466544,1.4240045383428517,1.0708219357045177,0.5967054648373332,0.9449087309612108,,1.7128148540206793,0.7859151604152921,,-0.20043461025067177,-0.18279050639798483,-0.19832191805115348,-0.20884238259671228,,-0.20799053904990777
47.0,-0.22145391386238983,-0.2308693196899005,-0.20751514925438816,,,-0.22385762078634605,,-0.2306959555841141,-0.21844090842997282,,-0.22845030290656068,-0.2282499152304236,,-0.0960380875149045,-0.11959528566597312,-0.042998677279889146,-0.1168340358141051,-0.014339493992810596,-0.03703369951766584,-0.002718916316957699,0.0025491514546534155,-0.11306936197220607,-0.0850835280346791,-0.1961712676772233,-0.1811865502458858,-0.19423093713424786,-0.2009615043269309,-0.19825842131481197,-0.2050266138470482
48.0,-0.15908484413236285,-0.1566805172827428,-0.1602271750060877,-0.13723145591840946,,-0.15046907017988143,-0.15071096344874024,-0.16224453924952054,-0.14314250770439563,,-0.12356291398966956,-0.15965660631593284,-0.2527066696346285,-0.14319880965667314,-0.2518849802339362,,,-0.1838370673970094,,-0.22607174014449838,-0.25919414265885343,,-0.18796492207963847,-0.12723051041598865,-0.1274423962799008,-0.15207922304398805,-0.15273274928157876,-0.12534934069055315,-0.1552750122276196
49.0,-0.2143364106945317,,-0.2010101941724081,,-0.21526419203389552,-0.21201828317979793,-0.21807015807815117,-0.21920924530878846,-0.20623235672372955,-0.22057475513328034,-0.21231378153473127,-0.21764439763157903,-0.21131973133338972,-0.1359624073523289,-0.21720992813352294,-0.2142025987122769,,-0.1545022053418307,-0.2207417112207297,-0.20352499946699634,,,-0.1800050000961414,-0.197475348934984,-0.17776942626967482,-0.1944987989799976,-0.20509619046142888,-0.19540812112234004,-0.20349172400985308
50.0,-0.2003871435370871,,-0.1900076724907777,-0.16896064243631617,,-0.2084383538819216,-0.19568690451882495,-0.19824144083795597,-0.1776964085941872,,-0.19388417554690507,-0.19983151277563857,-0.09433713879086372,,-0.012015208056960009,-0.04852836005441051,-0.05926670299029938,-0.008176341831254864,,0.1468613949303858,-0.008166011414715992,-0.07058647998397503,,-0.19607095373431863,-0.17181851648797405,-0.18626813499241368,,-0.1904267553654031,-0.19774911892931263
51.0,,-0.23195864522756354,-0.21694225212710144,-0.17868267730252715,-0.22993842386695562,-0.22186308874895783,,,-0.21908216569131087,,-0.22055190034034944,,0.1950069102135288,0.03597374766249971,0.16701296009845076,0.13144891281911728,0.20265690295736655,0.218858503696019,,0.3320459965559184,0.256211177482323,0.31690636895648466,0.16155453510563011,,-0.18709096854491702,-0.19939336543415256,-0.20959162102376896,-0.20116199814639554,-0.20812285713932116
52.0,-0.10827522297787186,-0.10473688901312542,-0.12622862071042626,-0.10722572103587649,-0.14790575963051675,-0.14098225754050916,-0.15414044440344402,-0.14268327073076872,-0.1296514414754763,-0.14906871510259434,-0.15473187895525584,-0.12830592896947765,,-0.10000951674789556,,-0.1299289975452697,,-0.08858043292829995,-0.14009504947938467,-0.11799011924144348,-0.15210237521023967,,-0.08317123446507019,-0.14074781422239296,-0.10261594453436795,-0.14285016490406402,,-0.14146552402181972,-0.11846411975281897
53.0,-0.21934983445875295,-0.22533669261703287,,-0.17824076662679028,-0.22871998584471595,-0.22475260311081513,-0.23210223282411474,-0.2306699086220385,,-0.24455832005612604,-0.22816720604038823,-0.22657824449778918,,-0.15051158560011338,-0.25031149047475776,,,-0.1798952633643536,-0.24780686954868109,-0.22506731324444554,,-0.23781935728014844,-0.1984825367124875,-0.20336879308063338,-0.18290673510465869,-0.19890634389642572,-0.21275507216023049,-0.20222753092862802,-0.2122776451469011
54.0,-0.19285401974628832,-0.2212660550815551,-0.1769469423652396,-0.17057361640275573,-0.20903956300723645,-0.21056074053709115,-0.19147204624625008,-0.19313623627114457,-0.19148343971295487,-0.20712394931328343,-0.19830048665919522,-0.20361332525274592,-0.23795766587686998,-0.14058301251763577,-0.22673828278632557,-0.24114049468648152,,-0.1680916291892186,-0.23665729525349513,,,-0.23275590965614185,-0.19109630279987308,-0.19092986416045427,-0.16747156285837234,-0.1852210386863009,-0.1944958541971455,-0.1933836088360983,-0.1940177488078555
55.0,0.2423267487614761,0.4582437487280532,0.1436507852493797,0.14861846468198003,0.41795275056743075,0.06974772348662499,0.3958069328138259,0.23817540873819126,0.2524638950595278,-0.01030864597192384,0.07443503421133893,0.15889258378476243,-0.013526057365274107,-0.02056183867830068,0.055877961181664194,-0.03984768486088814,-0.0892761967049194,0.009921112042429988,-0.08284516281342987,0.011448789431156124,-0.03229009318206722,,,0.3264643748561088,0.4312457509599275,0.42041459455393687,0.20851117084523044,0.20736327056154502,0.13550722106721103
56.0,-0.2119985446904907,-0.2118634557038319,-0.20123888399950893,,-0.20464259101393684,-0.20109949882127515,-0.20670836621294933,-0.20683693832289352,-0.19214936071511357,-0.21607262591253756,-0.19830048665919522,-0.19577565591613214,-0.17736337477322697,-0.11037723825517505,-0.19724991915135232,-0.2270537050485947,,-0.144201247842128,-0.19448533030279178,-0.1590130284225492,-0.20307422539609468,,-0.16214895888991818,-0.18894866378808703,-0.1734224726400731,-0.1863411882230727,-0.19380211491283375,,
